global step 	 epoch 	 step-time 	perplexity 	 last_accuracy_AA 	 last_accuracy_peptide 	valid_bucket_id 	 perplexity 	 accuracy_AA 	 accuracy_peptide 
100 	 0.0 	 10.47 	 8.4625 	 0.8851 	 0.3359 	0 	 2.6171 	 0.9080 	 0.4640 	1 	 3.5124 	 0.8363 	 0.1912 	2 	 5.6713 	 0.6992 	 0.0164 	
200 	 0.0 	 10.82 	 3.5122 	 0.9317 	 0.5781 	0 	 2.0565 	 0.9516 	 0.6721 	1 	 2.8105 	 0.8783 	 0.3274 	2 	 4.7086 	 0.7428 	 0.0432 	
300 	 0.0 	 10.73 	 3.0881 	 0.8991 	 0.3750 	0 	 1.8841 	 0.9631 	 0.7407 	1 	 2.6086 	 0.8925 	 0.3790 	2 	 4.3756 	 0.7571 	 0.0561 	
400 	 0.0 	 10.41 	 2.8555 	 0.9438 	 0.6719 	0 	 1.8200 	 0.9654 	 0.7591 	1 	 2.5193 	 0.8965 	 0.4008 	2 	 4.2389 	 0.7619 	 0.0626 	
500 	 0.0 	 10.39 	 2.6481 	 0.8826 	 0.3516 	0 	 1.7553 	 0.9714 	 0.7925 	1 	 2.4501 	 0.9035 	 0.4313 	2 	 4.1588 	 0.7676 	 0.0725 	
600 	 0.1 	 11.47 	 2.8336 	 0.9531 	 0.6953 	0 	 1.7239 	 0.9710 	 0.7914 	1 	 2.4051 	 0.9035 	 0.4316 	2 	 4.0597 	 0.7689 	 0.0690 	
700 	 0.1 	 12.94 	 2.6381 	 0.8725 	 0.3438 	0 	 1.6990 	 0.9733 	 0.8059 	1 	 2.3651 	 0.9070 	 0.4504 	2 	 3.9798 	 0.7749 	 0.0874 	
800 	 0.1 	 12.68 	 2.6015 	 0.8919 	 0.4141 	0 	 1.6759 	 0.9750 	 0.8199 	1 	 2.3363 	 0.9094 	 0.4595 	2 	 3.9297 	 0.7766 	 0.0814 	
900 	 0.1 	 11.65 	 2.4799 	 0.9646 	 0.7578 	0 	 1.6558 	 0.9759 	 0.8249 	1 	 2.3151 	 0.9096 	 0.4612 	2 	 3.9049 	 0.7765 	 0.0839 	
1000 	 0.1 	 11.38 	 2.4667 	 0.8972 	 0.3828 	0 	 1.6439 	 0.9764 	 0.8243 	1 	 2.2985 	 0.9110 	 0.4681 	2 	 3.8765 	 0.7786 	 0.0943 	
1100 	 0.1 	 12.21 	 2.5841 	 0.9090 	 0.4141 	0 	 1.6400 	 0.9773 	 0.8338 	1 	 2.2846 	 0.9126 	 0.4737 	2 	 3.8480 	 0.7810 	 0.0943 	
1200 	 0.1 	 11.67 	 2.5195 	 0.9716 	 0.8281 	0 	 1.6230 	 0.9790 	 0.8450 	1 	 2.2614 	 0.9151 	 0.4850 	2 	 3.8034 	 0.7854 	 0.1018 	
1300 	 0.1 	 12.22 	 2.5107 	 0.8957 	 0.4375 	0 	 1.6129 	 0.9787 	 0.8405 	1 	 2.2508 	 0.9141 	 0.4846 	2 	 3.7832 	 0.7848 	 0.1023 	
1400 	 0.1 	 11.43 	 2.4412 	 0.9141 	 0.4375 	0 	 1.6012 	 0.9798 	 0.8489 	1 	 2.2392 	 0.9149 	 0.4875 	2 	 3.7725 	 0.7876 	 0.1068 	
1500 	 0.1 	 12.82 	 2.5487 	 0.9135 	 0.4375 	0 	 1.5939 	 0.9807 	 0.8533 	1 	 2.2283 	 0.9170 	 0.4962 	2 	 3.7455 	 0.7890 	 0.1082 	
1600 	 0.1 	 11.57 	 2.4781 	 0.7734 	 0.0781 	0 	 1.5908 	 0.9798 	 0.8511 	1 	 2.2162 	 0.9166 	 0.4952 	2 	 3.7203 	 0.7891 	 0.1023 	
1700 	 0.2 	 11.97 	 2.4103 	 0.9023 	 0.4141 	0 	 1.5831 	 0.9809 	 0.8567 	1 	 2.2062 	 0.9181 	 0.5041 	2 	 3.7058 	 0.7912 	 0.1117 	
1800 	 0.2 	 10.29 	 2.3256 	 0.9135 	 0.4688 	0 	 1.5759 	 0.9820 	 0.8661 	1 	 2.2077 	 0.9187 	 0.5034 	2 	 3.7285 	 0.7920 	 0.1127 	
1900 	 0.2 	 10.68 	 2.4405 	 0.9351 	 0.5391 	0 	 1.5767 	 0.9811 	 0.8555 	1 	 2.2004 	 0.9176 	 0.5002 	2 	 3.6894 	 0.7917 	 0.1127 	
2000 	 0.2 	 9.89 	 2.4323 	 0.9139 	 0.4375 	0 	 1.5723 	 0.9817 	 0.8600 	1 	 2.1943 	 0.9185 	 0.5052 	2 	 3.6888 	 0.7913 	 0.1112 	
2100 	 0.2 	 9.79 	 2.3982 	 0.9064 	 0.4297 	0 	 1.5658 	 0.9814 	 0.8595 	1 	 2.1826 	 0.9192 	 0.5064 	2 	 3.6717 	 0.7921 	 0.1132 	
2200 	 0.2 	 9.85 	 2.3734 	 0.7708 	 0.0547 	0 	 1.5616 	 0.9814 	 0.8600 	1 	 2.1790 	 0.9192 	 0.5082 	2 	 3.6678 	 0.7919 	 0.1087 	
2300 	 0.2 	 10.24 	 2.4439 	 0.9082 	 0.4141 	0 	 1.5592 	 0.9824 	 0.8673 	1 	 2.1774 	 0.9191 	 0.5068 	2 	 3.6568 	 0.7917 	 0.1092 	
2400 	 0.2 	 8.12 	 2.3361 	 0.9093 	 0.4453 	0 	 1.5551 	 0.9818 	 0.8622 	1 	 2.1715 	 0.9198 	 0.5136 	2 	 3.6512 	 0.7941 	 0.1147 	
