global step 	 epoch 	 step-time 	perplexity 	 last_accuracy_AA 	 last_accuracy_peptide 	valid_bucket_id 	 perplexity 	 accuracy_AA 	 accuracy_peptide 
2500 	 0.9 	 0.72 	 1.5290 	 0.9868 	 0.9141 	0 	 1.5321 	 0.9732 	 0.8257 	1 	 1.5411 	 0.9552 	 0.6875 	2 	 1.8301 	 0.9130 	 0.3743 	
2600 	 0.9 	 0.72 	 1.5089 	 0.9563 	 0.7266 	0 	 1.5091 	 0.9747 	 0.8385 	1 	 1.5280 	 0.9551 	 0.7013 	2 	 1.8196 	 0.9122 	 0.3750 	
2700 	 1.0 	 0.73 	 1.4870 	 0.9528 	 0.7109 	0 	 1.4989 	 0.9746 	 0.8336 	1 	 1.5172 	 0.9568 	 0.7070 	2 	 1.8228 	 0.9141 	 0.3717 	
2800 	 1.0 	 0.73 	 1.4931 	 0.9848 	 0.9062 	0 	 1.5043 	 0.9759 	 0.8463 	1 	 1.5066 	 0.9580 	 0.7161 	2 	 1.8056 	 0.9144 	 0.3717 	
2900 	 1.1 	 0.72 	 1.4802 	 0.9717 	 0.7734 	0 	 1.4878 	 0.9769 	 0.8527 	1 	 1.4948 	 0.9585 	 0.7152 	2 	 1.7890 	 0.9167 	 0.3809 	
3000 	 1.1 	 0.72 	 1.4642 	 0.9230 	 0.5078 	0 	 1.4856 	 0.9784 	 0.8632 	1 	 1.4908 	 0.9596 	 0.7261 	2 	 1.7862 	 0.9169 	 0.3965 	
3100 	 1.1 	 0.72 	 1.4728 	 0.9568 	 0.7109 	0 	 1.4769 	 0.9769 	 0.8531 	1 	 1.4819 	 0.9597 	 0.7315 	2 	 1.7700 	 0.9202 	 0.3919 	
3200 	 1.2 	 0.72 	 1.4605 	 0.9681 	 0.7188 	0 	 1.4660 	 0.9780 	 0.8613 	1 	 1.4795 	 0.9593 	 0.7256 	2 	 1.7525 	 0.9189 	 0.4193 	
3300 	 1.2 	 0.73 	 1.4514 	 0.9345 	 0.5312 	0 	 1.4595 	 0.9776 	 0.8564 	1 	 1.4758 	 0.9609 	 0.7352 	2 	 1.7540 	 0.9189 	 0.3945 	
3400 	 1.2 	 0.73 	 1.4615 	 0.9453 	 0.5312 	0 	 1.4487 	 0.9764 	 0.8452 	1 	 1.4615 	 0.9616 	 0.7381 	2 	 1.7299 	 0.9207 	 0.3887 	
3500 	 1.3 	 0.73 	 1.4301 	 0.9490 	 0.5547 	0 	 1.4456 	 0.9790 	 0.8669 	1 	 1.4578 	 0.9624 	 0.7386 	2 	 1.7209 	 0.9226 	 0.4180 	
3600 	 1.3 	 0.72 	 1.4225 	 0.9877 	 0.9297 	0 	 1.4618 	 0.9773 	 0.8527 	1 	 1.4593 	 0.9621 	 0.7377 	2 	 1.7247 	 0.9209 	 0.4010 	
3700 	 1.4 	 0.73 	 1.4174 	 0.9700 	 0.7656 	0 	 1.4378 	 0.9797 	 0.8752 	1 	 1.4497 	 0.9625 	 0.7449 	2 	 1.7106 	 0.9242 	 0.4551 	
3800 	 1.4 	 0.72 	 1.4163 	 0.9520 	 0.5859 	0 	 1.4285 	 0.9784 	 0.8639 	1 	 1.4473 	 0.9623 	 0.7406 	2 	 1.7174 	 0.9232 	 0.4167 	
3900 	 1.4 	 0.73 	 1.4069 	 0.9703 	 0.7969 	0 	 1.4327 	 0.9790 	 0.8647 	1 	 1.4352 	 0.9635 	 0.7490 	2 	 1.6863 	 0.9238 	 0.4154 	
4000 	 1.5 	 0.72 	 1.4144 	 0.9810 	 0.8750 	0 	 1.4302 	 0.9800 	 0.8733 	1 	 1.4365 	 0.9646 	 0.7518 	2 	 1.6741 	 0.9264 	 0.4310 	
4100 	 1.5 	 0.72 	 1.4135 	 0.9667 	 0.7500 	0 	 1.4179 	 0.9801 	 0.8763 	1 	 1.4282 	 0.9650 	 0.7547 	2 	 1.6882 	 0.9243 	 0.4193 	
4200 	 1.5 	 0.72 	 1.3927 	 0.9702 	 0.7656 	0 	 1.4274 	 0.9782 	 0.8651 	1 	 1.4277 	 0.9639 	 0.7481 	2 	 1.6809 	 0.9246 	 0.4271 	
4300 	 1.6 	 0.72 	 1.3751 	 0.9603 	 0.8047 	0 	 1.4340 	 0.9788 	 0.8602 	1 	 1.4203 	 0.9647 	 0.7570 	2 	 1.6711 	 0.9262 	 0.4199 	
4400 	 1.6 	 0.73 	 1.4061 	 0.9783 	 0.8594 	0 	 1.4275 	 0.9803 	 0.8763 	1 	 1.4214 	 0.9657 	 0.7649 	2 	 1.6740 	 0.9240 	 0.4258 	
4500 	 1.6 	 0.73 	 1.3921 	 0.9769 	 0.8203 	0 	 1.4171 	 0.9798 	 0.8733 	1 	 1.4184 	 0.9656 	 0.7572 	2 	 1.6713 	 0.9275 	 0.4525 	
4600 	 1.7 	 0.71 	 1.3699 	 0.9806 	 0.8281 	0 	 1.4056 	 0.9791 	 0.8662 	1 	 1.4067 	 0.9664 	 0.7679 	2 	 1.6773 	 0.9256 	 0.4134 	
4700 	 1.7 	 0.73 	 1.3781 	 0.9687 	 0.7969 	0 	 1.4207 	 0.9793 	 0.8681 	1 	 1.4072 	 0.9674 	 0.7749 	2 	 1.6582 	 0.9278 	 0.4421 	
4800 	 1.8 	 0.73 	 1.3732 	 0.9756 	 0.8203 	0 	 1.4170 	 0.9811 	 0.8834 	1 	 1.4005 	 0.9665 	 0.7663 	2 	 1.6549 	 0.9266 	 0.4440 	
4900 	 1.8 	 0.72 	 1.3648 	 0.9695 	 0.8125 	0 	 1.4142 	 0.9821 	 0.8898 	1 	 1.3954 	 0.9680 	 0.7729 	2 	 1.6478 	 0.9279 	 0.4531 	
5000 	 1.8 	 0.73 	 1.3814 	 0.9712 	 0.7656 	0 	 1.4117 	 0.9820 	 0.8898 	1 	 1.4092 	 0.9668 	 0.7658 	2 	 1.6490 	 0.9291 	 0.4635 	
5100 	 1.9 	 0.73 	 1.3678 	 0.9792 	 0.8359 	0 	 1.3962 	 0.9831 	 0.8951 	1 	 1.3926 	 0.9682 	 0.7761 	2 	 1.6369 	 0.9308 	 0.4746 	
5200 	 1.9 	 0.72 	 1.3588 	 0.9819 	 0.8359 	0 	 1.4123 	 0.9819 	 0.8872 	1 	 1.3872 	 0.9672 	 0.7715 	2 	 1.6358 	 0.9288 	 0.4518 	
5300 	 1.9 	 0.73 	 1.3553 	 0.9879 	 0.9297 	0 	 1.4071 	 0.9813 	 0.8827 	1 	 1.3902 	 0.9679 	 0.7738 	2 	 1.6467 	 0.9284 	 0.4557 	
5400 	 2.0 	 0.73 	 1.3559 	 0.9789 	 0.9062 	0 	 1.4146 	 0.9800 	 0.8726 	1 	 1.3861 	 0.9682 	 0.7783 	2 	 1.6439 	 0.9287 	 0.4362 	
5500 	 2.0 	 0.71 	 1.3295 	 0.9605 	 0.6641 	0 	 1.4109 	 0.9815 	 0.8827 	1 	 1.3962 	 0.9677 	 0.7736 	2 	 1.6631 	 0.9261 	 0.4258 	
5600 	 2.0 	 0.72 	 1.3489 	 0.9605 	 0.6562 	0 	 1.3993 	 0.9818 	 0.8842 	1 	 1.3810 	 0.9678 	 0.7672 	2 	 1.6383 	 0.9285 	 0.4596 	
5700 	 2.1 	 0.72 	 1.3323 	 0.9952 	 0.9766 	0 	 1.4030 	 0.9785 	 0.8602 	1 	 1.3770 	 0.9678 	 0.7720 	2 	 1.6320 	 0.9299 	 0.4811 	
5800 	 2.1 	 0.73 	 1.3568 	 0.9457 	 0.5391 	0 	 1.3866 	 0.9820 	 0.8857 	1 	 1.3740 	 0.9696 	 0.7811 	2 	 1.6290 	 0.9311 	 0.4805 	
5900 	 2.2 	 0.72 	 1.3414 	 0.9729 	 0.8281 	0 	 1.3938 	 0.9804 	 0.8726 	1 	 1.3754 	 0.9687 	 0.7763 	2 	 1.6244 	 0.9309 	 0.4883 	
6000 	 2.2 	 0.73 	 1.3368 	 0.9498 	 0.6016 	0 	 1.3766 	 0.9808 	 0.8759 	1 	 1.3724 	 0.9690 	 0.7799 	2 	 1.6115 	 0.9318 	 0.4818 	
6100 	 2.2 	 0.73 	 1.3445 	 0.9896 	 0.9297 	0 	 1.3891 	 0.9813 	 0.8842 	1 	 1.3710 	 0.9697 	 0.7842 	2 	 1.6128 	 0.9308 	 0.4811 	
6200 	 2.3 	 0.72 	 1.3280 	 0.9730 	 0.8125 	0 	 1.3771 	 0.9821 	 0.8898 	1 	 1.3687 	 0.9702 	 0.7822 	2 	 1.6108 	 0.9315 	 0.5013 	
6300 	 2.3 	 0.73 	 1.3332 	 0.9842 	 0.9141 	0 	 1.3869 	 0.9822 	 0.8887 	1 	 1.3698 	 0.9694 	 0.7806 	2 	 1.6062 	 0.9322 	 0.4857 	
6400 	 2.3 	 0.73 	 1.3294 	 0.9775 	 0.8281 	0 	 1.3911 	 0.9820 	 0.8838 	1 	 1.3706 	 0.9691 	 0.7706 	2 	 1.5996 	 0.9337 	 0.4753 	
6500 	 2.4 	 0.72 	 1.3253 	 0.9801 	 0.8359 	0 	 1.3801 	 0.9816 	 0.8823 	1 	 1.3621 	 0.9698 	 0.7838 	2 	 1.5995 	 0.9328 	 0.4818 	
6600 	 2.4 	 0.72 	 1.3279 	 0.9785 	 0.7969 	0 	 1.3879 	 0.9816 	 0.8831 	1 	 1.3672 	 0.9709 	 0.7804 	2 	 1.6060 	 0.9341 	 0.4740 	
6700 	 2.4 	 0.72 	 1.3107 	 0.9751 	 0.7578 	0 	 1.3902 	 0.9812 	 0.8808 	1 	 1.3631 	 0.9694 	 0.7724 	2 	 1.6106 	 0.9323 	 0.4564 	
6800 	 2.5 	 0.74 	 1.3283 	 0.9676 	 0.7578 	0 	 1.3722 	 0.9821 	 0.8853 	1 	 1.3566 	 0.9705 	 0.7820 	2 	 1.5794 	 0.9350 	 0.4753 	
6900 	 2.5 	 0.72 	 1.3248 	 0.9737 	 0.8125 	0 	 1.3849 	 0.9806 	 0.8748 	1 	 1.3608 	 0.9701 	 0.7820 	2 	 1.5824 	 0.9347 	 0.5000 	
7000 	 2.6 	 0.72 	 1.3198 	 0.9807 	 0.8125 	0 	 1.3710 	 0.9823 	 0.8887 	1 	 1.3573 	 0.9714 	 0.7888 	2 	 1.5836 	 0.9345 	 0.4779 	
7100 	 2.6 	 0.72 	 1.3038 	 0.9833 	 0.8516 	0 	 1.3662 	 0.9823 	 0.8876 	1 	 1.3547 	 0.9711 	 0.7892 	2 	 1.5942 	 0.9317 	 0.4564 	
7200 	 2.6 	 0.73 	 1.3281 	 0.9944 	 0.9688 	0 	 1.3751 	 0.9818 	 0.8831 	1 	 1.3488 	 0.9713 	 0.7858 	2 	 1.5775 	 0.9340 	 0.4681 	
7300 	 2.7 	 0.72 	 1.3041 	 0.9875 	 0.9219 	0 	 1.3672 	 0.9826 	 0.8861 	1 	 1.3442 	 0.9719 	 0.7949 	2 	 1.5771 	 0.9354 	 0.5098 	
7400 	 2.7 	 0.72 	 1.2989 	 0.9594 	 0.6094 	0 	 1.3697 	 0.9832 	 0.8902 	1 	 1.3475 	 0.9719 	 0.7931 	2 	 1.5870 	 0.9332 	 0.4733 	
7500 	 2.7 	 0.73 	 1.3089 	 0.9595 	 0.6328 	0 	 1.3596 	 0.9822 	 0.8816 	1 	 1.3421 	 0.9719 	 0.7951 	2 	 1.5643 	 0.9370 	 0.4889 	
7600 	 2.8 	 0.72 	 1.2975 	 0.9876 	 0.9219 	0 	 1.3723 	 0.9832 	 0.8921 	1 	 1.3374 	 0.9724 	 0.7992 	2 	 1.5702 	 0.9360 	 0.4941 	
7700 	 2.8 	 0.72 	 1.3062 	 0.9804 	 0.8047 	0 	 1.3603 	 0.9817 	 0.8812 	1 	 1.3423 	 0.9717 	 0.7901 	2 	 1.5582 	 0.9373 	 0.4948 	
7800 	 2.8 	 0.73 	 1.3002 	 0.9378 	 0.6016 	0 	 1.3553 	 0.9826 	 0.8849 	1 	 1.3341 	 0.9731 	 0.7976 	2 	 1.5552 	 0.9375 	 0.4759 	
7900 	 2.9 	 0.72 	 1.2978 	 0.9858 	 0.9141 	0 	 1.3657 	 0.9845 	 0.8988 	1 	 1.3353 	 0.9725 	 0.8001 	2 	 1.5554 	 0.9379 	 0.4928 	
8000 	 2.9 	 0.72 	 1.2954 	 0.9825 	 0.8516 	0 	 1.3398 	 0.9828 	 0.8876 	1 	 1.3315 	 0.9733 	 0.8090 	2 	 1.5547 	 0.9378 	 0.4993 	
8100 	 3.0 	 0.72 	 1.2871 	 0.9749 	 0.7891 	0 	 1.3474 	 0.9815 	 0.8793 	1 	 1.3286 	 0.9728 	 0.8017 	2 	 1.5554 	 0.9374 	 0.4870 	
8200 	 3.0 	 0.71 	 1.2809 	 0.9779 	 0.8125 	0 	 1.3569 	 0.9828 	 0.8891 	1 	 1.3281 	 0.9728 	 0.8001 	2 	 1.5555 	 0.9362 	 0.4850 	
8300 	 3.0 	 0.72 	 1.2952 	 0.9777 	 0.8594 	0 	 1.3363 	 0.9840 	 0.8962 	1 	 1.3315 	 0.9729 	 0.8022 	2 	 1.5530 	 0.9386 	 0.4915 	
8400 	 3.1 	 0.73 	 1.2982 	 0.9725 	 0.8281 	0 	 1.3426 	 0.9839 	 0.8988 	1 	 1.3342 	 0.9724 	 0.7997 	2 	 1.5466 	 0.9371 	 0.4674 	
8500 	 3.1 	 0.73 	 1.3005 	 0.9873 	 0.8750 	0 	 1.3431 	 0.9842 	 0.9003 	1 	 1.3298 	 0.9728 	 0.8029 	2 	 1.5395 	 0.9402 	 0.5169 	
8600 	 3.1 	 0.72 	 1.2784 	 0.9812 	 0.8594 	0 	 1.3361 	 0.9848 	 0.9029 	1 	 1.3258 	 0.9736 	 0.8090 	2 	 1.5373 	 0.9392 	 0.5026 	
8700 	 3.2 	 0.72 	 1.2853 	 0.9878 	 0.9297 	0 	 1.3298 	 0.9841 	 0.8969 	1 	 1.3294 	 0.9731 	 0.8045 	2 	 1.5350 	 0.9388 	 0.4863 	
8800 	 3.2 	 0.72 	 1.2827 	 0.9932 	 0.9453 	0 	 1.3507 	 0.9841 	 0.8981 	1 	 1.3247 	 0.9741 	 0.8117 	2 	 1.5469 	 0.9378 	 0.4850 	
8900 	 3.3 	 0.73 	 1.2926 	 0.9914 	 0.9375 	0 	 1.3400 	 0.9839 	 0.8962 	1 	 1.3245 	 0.9736 	 0.8085 	2 	 1.5391 	 0.9367 	 0.4779 	
9000 	 3.3 	 0.72 	 1.2783 	 0.9765 	 0.8359 	0 	 1.3398 	 0.9852 	 0.9070 	1 	 1.3239 	 0.9732 	 0.8076 	2 	 1.5533 	 0.9366 	 0.4720 	
9100 	 3.3 	 0.72 	 1.2869 	 0.9753 	 0.8125 	0 	 1.3504 	 0.9855 	 0.9074 	1 	 1.3266 	 0.9746 	 0.8122 	2 	 1.5438 	 0.9376 	 0.4961 	
